name,nte_score_raw,nte_score
Barking and Dagenham,1985.0,0.02907
Barnet,4345.0,0.257752
Bexley,2045.0,0.034884
Brent,3715.0,0.196705
Bromley,3120.0,0.13905
Camden,7355.0,0.549419
City of London,2940.0,0.121609
Croydon,3520.0,0.17781
Ealing,4520.0,0.274709
Enfield,3100.0,0.137112
Greenwich,2735.0,0.101744
Hackney,4845.0,0.306202
Hammersmith and Fulham,3585.0,0.184109
Haringey,3560.0,0.181686
Harrow,2485.0,0.077519
Havering,2300.0,0.059593
Hillingdon,3570.0,0.182655
Hounslow,3615.0,0.187016
Islington,4810.0,0.30281
Kensington and Chelsea,3325.0,0.158915
Kingston upon Thames,1830.0,0.01405
Lambeth,4335.0,0.256783
Lewisham,2975.0,0.125
Merton,2380.0,0.067345
Newham,2890.0,0.116764
Redbridge,2755.0,0.103682
Richmond upon Thames,3155.0,0.142442
Southwark,4515.0,0.274225
Sutton,1685.0,0.0
Tower Hamlets,4175.0,0.241279
Waltham Forest,2895.0,0.117248
Wandsworth,4220.0,0.24564
Westminster,12005.0,1.0
