latitude,longitude,risk_level,risk_band
51.3124912,-0.0818948,High,4
51.3126552,-0.0819614,High,4
51.3179537,-0.0870328,High,4
51.3210496,-0.0915368,High,4
51.3215653,-0.0925345,High,4
51.3217588,-0.0927536,High,4
51.3227757,-0.0943372,High,4
51.3229641,-0.0945928,High,4
51.32308,-0.0947779,High,4
51.3231267,-0.0948456,High,4
51.323167,-0.0949059,High,4
51.3232847,-0.0950245,High,4
51.3233579,-0.0951827,High,4
51.3234274,-0.0952697,High,4
51.324305,-0.0970024,High,4
51.3244719,-0.09734,High,4
51.3246089,-0.0977318,High,4
51.3249315,-0.0984671,High,4
51.32518,-0.0991451,High,4
51.3252315,-0.0992771,High,4
51.325283,-0.0994091,High,4
51.3291876,-0.1086995,High,4
51.3321592,-0.1111783,High,4
51.3323561,-0.111309,High,4
51.3336587,-0.1121965,High,4
51.3347192,-0.11308,High,4
51.3348102,-0.113151,High,4
51.3348979,-0.1132186,High,4
51.3353003,-0.1135623,High,4
51.3356219,-0.1139145,High,4
51.3356736,-0.1139796,High,4
51.3365397,-0.1149897,High,4
51.3427824,-0.1077172,High,4
51.350228,-0.3058961,High,4
51.3531392,-0.3007326,High,4
51.3500174,-0.1007726,High,4
51.3501263,-0.1006655,High,4
51.3502169,-0.1005907,High,4
51.3522198,-0.0989942,High,4
51.3538742,-0.0982901,High,4
51.3557195,-0.2964774,High,4
51.3564995,-0.0979714,High,4
51.3584609,-0.098046,High,4
51.3673341,-0.1626147,High,4
51.3682227,-0.1619686,High,4
51.3687183,-0.1612007,High,4
51.369072,-0.1607772,High,4
51.3694041,-0.1604331,High,4
51.3701893,-0.313189,High,4
51.3656457,0.0340714,High,4
51.3705921,-0.1291121,High,4
51.3702417,-0.1261049,High,4
51.3704877,-0.1314665,High,4
51.3709924,-0.1309813,High,4
51.3691104,-0.0059819,High,4
51.3713158,-0.1496015,High,4
51.3718632,-0.1349537,High,4
51.3725417,-0.3087234,High,4
51.3753837,-0.3072687,High,4
51.365332,0.0439342,High,4
51.3687901,0.061282,High,4
51.3719641,-0.1547771,High,4
51.3725108,-0.1445871,High,4
51.3701534,0.0435985,High,4
51.3733012,-0.141005,High,4
51.3731351,-0.2018862,High,4
51.374467,-0.2043512,High,4
51.3734611,-0.1397383,High,4
51.3734427,-0.1399019,High,4
51.3731575,-0.1171961,High,4
51.3707726,-0.0033788,High,4
51.373478,-0.137791,High,4
51.3717192,-0.0016918,High,4
51.3717467,-0.0016488,High,4
51.3708773,0.0440718,High,4
51.3734179,-0.1155712,High,4
51.3718639,-0.001506,High,4
51.3719324,-0.0014261,High,4
51.3738375,-0.1136838,High,4
51.3669004,-0.1020224,High,4
51.3738908,-0.1126682,High,4
51.3738898,-0.1108144,High,4
51.3729246,-0.1589162,High,4
51.3727386,-0.0009598,High,4
51.3736222,-5.47e-05,High,4
51.3737634,0.0001193,High,4
51.3737904,0.0001656,High,4
51.3738833,0.0002011,High,4
51.373985,0.0003055,High,4
51.3740491,0.0003916,High,4
51.3741017,0.0004465,High,4
51.3736207,-0.0004151,High,4
51.3764509,-0.148548,High,4
51.376515,-0.1419384,High,4
51.3766324,-0.1470646,High,4
51.3765627,-0.1403869,High,4
51.3765618,-0.1431326,High,4
51.3762321,-0.1586876,High,4
51.3767786,-0.1437127,High,4
51.3768855,-0.1442075,High,4
51.3744999,0.0006905,High,4
51.374684,0.0008681,High,4
51.3783935,-0.1935629,High,4
51.3764743,0.0034148,High,4
51.3766327,-0.2110366,High,4
51.3801867,-0.2178283,High,4
51.3765617,0.003573,High,4
51.3763998,0.030123,High,4
51.3782502,-0.1614712,High,4
51.3771365,0.0051797,High,4
51.3769369,0.0045336,High,4
51.3771796,0.0055016,High,4
51.3771836,0.0053505,High,4
51.3772055,0.0057178,High,4
51.3772247,0.0058587,High,4
51.3782435,-0.1518082,High,4
51.3772518,0.0060571,High,4
51.3772726,0.0061548,High,4
51.3798595,-0.1515381,High,4
51.377303,0.0063143,High,4
51.3774021,0.0067079,High,4
51.3774277,0.006795,High,4
51.3775063,0.0069705,High,4
51.3773052,0.0483394,High,4
51.3804651,-0.1974154,High,4
51.37854,0.0098992,High,4
51.3792518,0.0110594,High,4
51.3793945,0.0112366,High,4
51.3795326,0.0114162,High,4
51.3798214,0.0129944,High,4
51.3798388,0.0120792,High,4
51.3804045,0.0138414,High,4
51.3817902,-0.1508213,High,4
51.3859146,-0.2392196,High,4
51.3820843,0.0146556,High,4
51.382412,-0.1634981,High,4
51.3855836,-0.1636755,High,4
51.384857,-0.1573998,High,4
51.3856106,-0.1573796,High,4
51.3857426,-0.1636251,High,4
51.3856377,-0.1620568,High,4
51.3856855,-0.1560396,High,4
51.3839706,-0.1990731,High,4
51.3866106,-0.2003129,High,4
51.3830194,0.0147492,High,4
51.3863095,-0.1636983,High,4
51.3864149,-0.1581274,High,4
51.3878367,-0.1604359,High,4
51.3880351,-0.1612852,High,4
51.3769077,0.0676083,High,4
51.3862733,-0.0365367,High,4
51.3866449,-0.0365732,High,4
51.3812079,0.0487964,High,4
51.3868591,-0.0366099,High,4
51.388433,-0.2039007,High,4
51.376155,-0.0244704,High,4
51.3865235,0.0162233,High,4
51.3878089,-0.0367335,High,4
51.386408,0.0780867,High,4
51.3857917,0.0767282,High,4
51.3864478,0.0783422,High,4
51.3921271,-0.2388579,High,4
51.3904808,-0.2127181,High,4
51.3888171,0.0163807,High,4
51.3927692,-0.218086,High,4
51.3897827,-0.0449224,High,4
51.3933552,-0.2186031,High,4
51.3905856,-0.0456328,High,4
51.3908669,-0.0458815,High,4
51.3939761,-0.2243717,High,4
51.3912337,-0.0462192,High,4
51.3918703,-0.0364326,High,4
51.3962979,-0.3313205,High,4
51.3946616,-0.2226301,High,4
51.3907633,0.0165554,High,4
51.395126,-0.2212989,High,4
51.3951655,-0.2211714,High,4
51.3963032,-0.3256867,High,4
51.3952708,-0.2207424,High,4
51.3951462,-0.1755576,High,4
51.3919547,-0.1688251,High,4
51.3796033,0.0313159,High,4
51.3887516,-0.2415647,High,4
51.3958075,-0.1763046,High,4
51.3915465,-0.0478503,High,4
51.395241,0.0135668,High,4
51.3958136,0.0768492,High,4
51.3958522,0.0766996,High,4
51.3962363,-0.0487883,High,4
51.3927344,0.0782167,High,4
51.4013664,-0.2400453,High,4
51.3901545,-0.2261215,High,4
51.3987152,-0.059535,High,4
51.402062,-0.2365183,High,4
51.401654,-0.1880937,High,4
51.3833682,-0.2823816,High,4
51.4025581,-0.2407872,High,4
51.3960291,0.0161579,High,4
51.3982705,-0.1818532,High,4
51.3988918,0.0157978,High,4
51.4022591,-0.1877392,High,4
51.402634,-0.2387502,High,4
51.4024355,-0.1878949,High,4
51.3991215,0.0150383,High,4
51.4033287,-0.2410272,High,4
51.402376,-0.1903714,High,4
51.3979069,-0.1030927,High,4
51.4036741,-0.2418292,High,4
51.4030116,-0.1907056,High,4
51.3991887,0.0180265,High,4
