urn,name,address1,address2,town,postcode,p8mea
100053,Acland Burghley School,Burghley Road,,London,NW5 1UJ,-0.3
100054,The Camden School for Girls,Sandall Road,,London,NW5 2DB,0.62
100052,Hampstead School,Westbere Road,Hampstead,London,NW2 3RT,-0.46
100049,Haverstock School,24 Haverstock Hill,Chalk Farm,London,NW3 2BQ,-0.2
100059,La Sainte Union Catholic Secondary School,Highgate Road,,London,NW5 1RP,0.18
100055,Maria Fidelis Catholic School FCJ,1 - 39 Drummond Crescent,,London,NW1 1LY,-0.58
100050,Parliament Hill School,Highgate Road,,London,NW5 1RL,0.5
100051,Regent High School,Chalton Street,Camden,London,NW1 1RX,-0.27
137181,The UCL Academy,Adelaide Road,,Camden,NW3 3AQ,-0.16
100056,William Ellis School,Highgate Road,,London,NW5 1RN,-0.17
138245,Ark Greenwich Free School,403 Shooters Hill Road,,London,SE18 4LH,1.43
100182,Eltham Hill School,Eltham Hill,,London,SE9 5EE,0.25
138449,Harris Academy Greenwich,Middle Park Avenue,Eltham,London,SE9 5EQ,0.35
147439,The John Roan School,Westcombe Park Road,Blackheath,London,SE3 7QR,-0.29
145895,Leigh Academy Blackheath,Old Dover Road,Blackheath,London,SE3 8SY,0.22
145315,Leigh Academy Halley,Corelli Road,,London,SE3 8EP,0.09
141309,Leigh Stationers' Academy,145 Bexley Road,Eltham,London,SE9 2PT,-0.33
100183,Plumstead Manor School,Old Mill Road,,London,SE18 1QF,-0.65
143927,Royal Greenwich Trust School,765 Woolwich Road,Greenwich,London,SE7 8LJ,-0.36
100171,Saint Mary Magdalene Church of England All Through School,Kingsman Street,,London,SE18 5PW,-0.27
105135,St Paul's Academy,Finchale Road,Abbey Wood,London,SE2 9PX,-0.25
141716,St Thomas More Catholic Comprehensive School,Footscray Road,Eltham,London,SE9 2SU,0.74
100193,St Ursula's Convent School,Crooms Hill,Greenwich,London,SE10 8HN,0.09
100190,Thomas Tallis School,Kidbrooke Park Road,,London,SE3 9PX,-0.12
141163,Woolwich Polytechnic School,Hutchins Road,Thamesmead,London,SE28 8AT,-0.04
143686,Woolwich Polytechnic School for Girls,1 Birchdene Drive,,Thamesmead,SE28 8RF,0.4
100282,All Saints Catholic High School,6-16 Amhurst Park,Stamford Hill,London,N16 5AF,0.27
131609,The Bridge Academy,Laburnum Street,Hackney,London,E2 8BA,0.51
150604,Cardinal Pole Catholic School,205 Morning Lane,Hackney,London,E9 6LG,0.15
135835,"The City Academy, Hackney",Homerton Row,Hackney,London,E9 6EA,0.56
143756,"City of London Academy, Shoreditch Park",Hyde Road,,London,N1 5JU,0.68
137442,Clapton Girls' Academy,Laura Place,Lower Clapton Road,London,E5 0RB,0.84
131062,The Excelsior Academy,Shacklewell Lane,Hackney,London,E8 2EY,0.46
149901,Haggerston School,Weymouth Terrace,Hackney,London,E2 8LS,0.16
145609,Lubavitch House School (Senior Girls),107-115 Stamford Hill,,London,N16 5RP,0.02
134693,Mossbourne Community Academy,100 Downs Park Road,Hackney,London,E5 8JY,1.47
140210,Mossbourne Victoria Park Academy,Victoria Park Road,Hackney,London,E9 7HD,1.54
136137,Skinners' Academy,Woodberry Grove,,London,N4 1SY,0.16
100279,Stoke Newington School and Sixth Form,Clissold Road,,London,N16 9EX,0.28
100284,The Urswick School - A Church of England Secondary School,Paragon Road,Hackney,London,E9 6NR,-0.26
147653,Waterside Academy,317-319 Kingsland Road,,London,E8 4DL,1.04
133599,Yesodey Hatorah Senior Girls School,Egerton Road,Stamford Hill,London,N16 6UB,0.92
131752,Ark Burlington Danes Academy,Wood Lane,,London,W12 0HR,-0.03
